1、您的年龄段是?,2、您的性别是?,3、您的职业是?,4、您每年的务农收入是?,5、您的受教育程度是?,7、您家土地的承包情况是?,8、(B.小麦),8、(C.水稻),8、(D.高粱),8、(E.玉米),8、(F.其他),10、 您对农业无人机的了解程度如何?,11、您家庭田地的耕作中是否使用了无人机?,12、无人机主要用于哪些农业生产环节?(A.播种),12、(B.施肥),12、(C.灌溉),12、(D.搬运),12、(E.防治病虫害),12、(F.未使用无人机),13、一年内使用无人机的频率是?,14、您对于使用无人机生产效果的满意度如何?,15、您同意使用无人机生产能够降低成本?,16、您同意使用无人机生产能够增加收益?,17、您同意使用无人机生产过程中存在许多风险?,18、您同意农业无人机与其他农业机器在功能上是不相似、不可替代的?,19、您会因为家人朋友的推荐而使用无人机生产,20、您会因为周围邻里的带动而使用无人机生产?,21、您会因为政府、合作社的宣传引导而使用无人机生产?,22、总体考虑，您愿意在种植业生产中使用无人机?,23、您觉得自己是一个比较倾向于接受新事物的人吗?,24、您认为农业无人机容易受天气影响？,25、您认为农业无人机操作技术复杂？,26、您认为政策支持、提供相关机会有助于降低您使用无人机的难度?,29、您认为当前市场上无人机的价格过高?,27、您认为农业无人机的续航能力不足?,28、您认为农业无人机的无法有效避障?,30、您在认真填写问卷的话请选择一般,31、您认为采取哪些措施有助于农业无人机的推广?(A. 加大补贴力度),31、(B. 提供技术培训),31、(C. 完善售后服务),31、(D. 规范市场价格),31、(E. 提供免费试用机会),31、(F. 其他),32、您希望将无人机用于种植业生产的方式是？(A.自行购买或租赁无人机，用于自家田地生产),32、(B.聘请专业无人机飞手，辅助自家田地生产),32、(C.将自家田地承包给合作社，由合作社负责),32、(D.学习相关技术，成为专业无人机飞手),32、(E.其他),32、(F.无使用意愿),33、您希望通过哪些途径学习无人机相关知识或操作技术?(A. 无人机销售代理企业提供培训),33、(B. 农业部门和相关组织提供培训),33、(C. 自行请教有相关技术和经验的人),33、(D. 线上自主学习),33、(E. 其他),33、(F. 无学习意愿),34、您认您更乐于接受以下哪些宣传方式，以提高农户对植保无人机的接受度？(A. 举办无人机使用现场演示会),34、(B. 发放宣传资料),34、(C. 利用电视、广播等媒体宣传),34、(D. 组织农户参观示范区，学习成功案例),34、(E. 其他)
4,1,2,1,2,1,0,1,0,1,0,2,2,0,0,0,0,0,1,5,6,2,2,2,3,3,3,2,2,2,2,1,1,1,3,4,3,1,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0
1,2,2,1,3,2,1,0,0,0,0,4,2,0,0,0,0,0,1,5,6,3,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0
3,2,2,1,1,1,0,0,0,1,0,4,2,0,0,0,0,0,1,5,6,1,1,2,2,4,5,5,5,4,2,3,3,2,2,3,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
3,2,2,1,2,2,1,0,0,1,0,3,2,0,0,0,0,0,1,5,6,1,1,2,2,2,2,2,2,3,2,3,3,2,3,2,3,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0
4,2,2,1,1,1,0,1,0,1,0,4,2,0,0,0,0,0,1,5,6,2,2,2,2,5,5,5,5,4,3,1,1,2,3,3,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
4,1,2,1,2,2,1,0,0,0,0,3,2,0,1,1,0,1,0,5,2,2,2,4,2,3,3,3,3,3,2,1,1,1,3,3,3,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
4,2,2,1,2,2,0,0,0,0,1,5,2,0,0,0,0,0,1,5,6,2,2,3,2,4,4,4,4,2,3,1,2,1,3,4,3,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
4,1,2,1,2,1,1,1,0,0,0,3,2,0,0,0,0,0,1,5,6,2,2,4,3,2,2,2,2,3,4,2,1,1,4,4,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
3,2,2,1,2,2,0,0,1,0,0,4,2,0,0,0,0,0,1,5,6,2,2,3,3,3,4,3,4,2,3,1,1,1,4,3,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0
4,2,2,1,2,2,1,0,0,0,1,3,2,0,0,0,0,0,1,5,6,2,2,2,3,4,4,4,4,3,3,2,2,1,3,3,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
4,2,2,1,1,2,0,0,0,0,1,5,2,0,0,0,0,0,1,5,6,2,2,2,2,4,4,4,4,4,2,3,3,2,4,4,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
3,2,2,1,2,2,1,0,0,0,0,3,2,0,0,0,0,0,1,5,6,1,1,2,3,3,4,3,3,2,3,1,1,1,3,3,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0
3,1,2,1,2,2,1,1,0,0,0,2,1,0,0,0,0,1,0,2,2,2,2,3,3,2,2,2,2,2,3,2,2,2,4,4,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
4,2,2,1,2,2,1,0,0,0,0,5,2,0,0,0,0,0,1,5,6,2,2,2,3,5,5,5,5,4,3,2,2,2,3,3,3,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
2,1,2,1,2,2,0,0,0,0,1,3,2,0,0,0,0,0,1,5,6,2,2,4,3,2,4,3,3,2,2,2,1,1,4,4,3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
4,2,2,1,1,1,0,1,0,0,0,4,2,0,0,0,0,0,1,5,6,4,4,2,4,3,3,3,4,4,2,2,2,1,3,3,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
3,2,2,2,2,3,0,0,0,0,1,2,1,1,1,1,0,1,0,2,2,1,1,4,2,2,3,2,2,2,3,2,1,1,4,4,3,1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,0
2,2,2,2,2,4,1,1,0,1,0,2,1,0,0,0,0,1,0,1,2,2,2,2,2,3,3,2,2,2,2,3,3,2,4,3,3,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
3,2,2,1,2,2,0,0,0,0,1,3,2,0,0,0,0,0,1,5,6,2,2,3,3,2,4,3,3,2,3,1,1,2,4,4,3,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
4,2,1,1,1,1,1,1,0,0,0,5,2,0,0,0,0,0,1,5,6,3,3,3,2,2,2,2,4,4,3,2,3,2,4,4,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
4,2,1,1,2,1,1,1,0,0,0,5,2,0,0,0,0,0,1,5,6,3,3,2,2,2,2,2,5,3,2,1,3,1,4,4,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
4,2,2,1,2,2,1,1,0,0,0,3,1,0,1,0,0,1,0,1,2,2,2,3,2,2,2,2,2,3,4,1,2,1,4,4,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
4,2,2,1,1,2,1,1,0,0,0,3,1,0,1,0,0,1,0,1,2,2,2,3,3,2,2,2,2,3,2,1,1,1,4,3,3,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0
4,2,1,1,1,1,0,0,0,1,0,4,2,0,0,0,0,0,1,5,6,2,2,3,4,2,2,2,2,2,3,3,3,2,4,3,3,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
4,2,2,1,2,2,1,1,0,0,0,2,1,0,1,0,0,1,0,1,2,2,2,2,2,3,2,2,2,3,2,3,3,2,4,3,3,1,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0
4,2,2,1,1,1,1,1,0,0,0,5,2,0,0,0,0,0,1,5,6,3,3,4,4,4,4,4,4,3,2,1,1,1,4,4,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0
3,1,1,2,2,4,0,0,0,0,1,2,2,0,0,0,0,0,1,5,6,1,1,5,2,2,3,2,2,1,4,2,1,1,5,5,3,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0
4,2,2,1,2,1,1,1,0,0,1,5,2,0,0,0,0,0,1,5,3,1,4,3,4,2,2,2,2,3,2,2,1,1,4,3,3,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
4,1,1,1,1,3,0,0,0,1,1,3,2,0,0,0,0,0,1,5,6,2,2,4,4,3,4,3,4,2,3,2,1,1,3,3,3,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1
4,2,2,1,1,1,1,1,0,0,0,5,2,0,0,0,0,0,1,5,6,2,2,2,2,4,4,4,3,3,3,1,2,1,4,3,3,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,0
4,2,2,1,1,2,0,1,0,0,0,3,1,0,1,0,0,1,0,2,2,2,4,2,4,2,2,2,4,3,3,2,2,1,4,4,3,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,0
3,2,2,1,1,1,1,1,0,0,0,4,2,0,0,0,0,0,1,5,6,2,4,2,4,4,4,4,4,4,3,1,2,2,4,4,3,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,1,1,1,0
3,1,2,2,2,4,1,1,0,1,0,2,1,0,1,0,0,1,0,1,2,2,2,4,1,2,2,1,1,2,2,2,2,1,3,3,3,1,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
4,2,1,1,1,1,0,0,0,0,1,5,2,0,0,0,0,0,1,5,6,2,2,3,4,3,4,3,4,4,3,1,2,2,3,3,3,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
4,1,2,1,1,1,0,1,0,1,0,4,2,0,0,0,0,0,1,5,6,2,3,3,2,2,2,2,2,3,2,3,3,2,3,4,3,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0
4,2,2,1,1,1,0,1,0,1,0,3,2,0,0,0,0,0,1,5,6,2,4,2,4,2,2,2,4,4,2,1,1,1,4,4,3,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0
3,1,2,1,3,1,0,0,0,1,1,5,2,0,0,0,0,0,1,5,6,2,2,3,3,3,3,2,4,3,3,3,3,2,3,3,3,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
4,1,1,1,1,2,0,1,0,0,0,2,1,1,0,0,0,1,0,3,3,1,3,5,1,1,1,1,2,1,3,1,1,1,2,2,3,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0
4,2,2,1,1,1,0,1,0,0,1,4,2,0,0,0,0,0,1,5,6,2,4,2,3,2,2,2,2,3,4,2,2,1,4,3,3,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
3,1,1,1,1,3,1,1,0,0,0,2,1,1,1,0,0,1,0,2,1,1,1,1,1,1,1,1,1,1,3,3,3,2,3,5,3,1,1,0,1,0,0,1,1,1,0,0,0,1,1,1,0,0,0,1,0,0,1,0
3,1,1,3,2,2,1,0,0,1,0,2,2,0,0,0,0,0,1,5,6,1,1,2,3,3,3,2,3,2,3,2,1,2,4,3,3,1,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,1,0
2,1,2,2,2,1,1,1,0,0,0,1,1,1,1,1,0,1,0,3,1,1,1,2,1,1,1,1,1,1,2,2,1,2,4,4,3,1,1,1,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0
3,1,1,1,1,3,0,1,0,0,0,1,1,1,1,0,1,0,0,2,2,3,2,2,3,1,1,2,2,1,2,2,2,1,1,1,3,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0
3,1,2,2,3,5,0,1,0,0,0,1,1,1,1,0,0,0,0,2,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,2,3,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0
3,1,1,2,2,5,0,1,0,0,0,1,1,1,1,0,0,1,0,2,2,2,3,1,1,1,1,1,1,1,1,2,1,1,1,2,3,1,0,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0
4,1,1,1,1,1,0,1,0,0,0,3,2,0,0,0,0,0,1,5,6,2,1,2,3,2,3,2,2,1,2,2,2,1,3,1,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0
3,1,1,1,3,5,0,1,0,0,0,1,1,1,1,0,0,1,0,2,2,2,2,1,1,1,1,1,1,1,2,3,3,1,1,1,3,1,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
3,1,1,2,3,5,0,1,0,0,0,1,1,1,1,0,0,0,0,2,2,3,3,1,1,1,1,1,1,1,1,2,1,1,1,2,3,1,1,1,1,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,0,0,1,0
3,1,1,1,2,1,0,1,0,0,0,1,2,0,0,0,0,0,1,5,6,5,2,3,3,4,4,2,2,2,1,3,2,1,2,3,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
3,2,1,1,3,5,0,1,0,0,0,1,1,1,1,0,0,0,0,2,3,3,3,2,1,1,1,1,1,1,2,3,1,1,1,2,3,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0
